deputado;nome_urna;partido;numero;votos;total_votos_estado;percentual_estado;situacao
MARCIO CORREIA DE OLIVEIRA;MÁRCIO CANELLA;UNIÃO;44123;181274;8067389;2.247;ELEITO POR QP
DOUGLAS RUAS DOS SANTOS;DOUGLAS RUAS;PL;22022;175977;8067389;2.1813;ELEITO POR QP
RENATA DA SILVA SOUZA;RENATA SOUZA;PSOL;50007;174132;8067389;2.1585;ELEITO POR QP
ROSENVERG REIS DE OLIVEIRA;ROSENVERG REIS;MDB;15016;131308;8067389;1.6276;ELEITO POR QP
SÉRGIO LUIZ COSTA AZEVEDO FILHO;DR SERGINHO;PL;22122;123739;8067389;1.5338;ELEITO POR QP
GUILHERME JANDRE DELAROLI;DELAROLI;PL;22222;114155;8067389;1.415;ELEITO POR QP
THIAGO GAGLIASSO ONOFRE FERREIRA;THIAGO GAGLIASSO;PL;22200;102038;8067389;1.2648;ELEITO POR QP
ELIKA TAKIMOTO;ELIKA TAKIMOTO;PT;13021;95263;8067389;1.1808;ELEITO POR QP
GISELLE LOUISE MONTEIRO DE OLIVEIRA;GISELLE MONTEIRO;PL;22822;95028;8067389;1.1779;ELEITO POR QP
DANNIEL LIBRELON DIAS DE CASTRO;DANNIEL LIBRELON;REPUBLICANOS;10000;80970;8067389;1.0037;ELEITO POR QP
JAIR DE SIQUEIRA BITTENCOURT JUNIOR;JAIR BITTENCOURT;PL;22300;75253;8067389;0.9328;ELEITO POR QP
FILIPPE MEDEIROS POUBEL;FILIPPE POUBEL;PL;22622;73632;8067389;0.9127;ELEITO POR QP
VALDECIR DIAS DA SILVA;VALDECY DA SAÚDE;PL;22615;72250;8067389;0.8956;ELEITO POR QP
SAMUEL LIMA MALAFAIA;SAMUEL MALAFAIA;PL;22777;72056;8067389;0.8932;ELEITO POR QP
FLAVIO ALVES SERAFINI;FLAVIO SERAFINI;PSOL;50123;71258;8067389;0.8833;ELEITO POR QP
VINICIUS COZZOLINO ABRAHÃO;VINICIUS COZZOLINO;UNIÃO;44555;70270;8067389;0.871;ELEITO POR QP
ROOSEVELT BARRETO BARCELOS;VAL CEASA;PATRIOTA;51888;69034;8067389;0.8557;ELEITO POR QP
BRUNO FELGUEIRA DAUAIRE;BRUNO DAUAIRE;UNIÃO;44888;68455;8067389;0.8485;ELEITO POR QP
DANIELI CHRISTOVÃO BALBI;DANI BALBI;PC do B;65123;65815;8067389;0.8158;ELEITO POR QP
RENATO DA COSTA MACHADO;RENATO MACHADO;PT;13444;63803;8067389;0.7909;ELEITO POR QP
JUCELIA OLIVEIRA FREITAS;TIA JU;REPUBLICANOS;10123;63373;8067389;0.7855;ELEITO POR QP
FABIO FRANCISCO DA SILVA;FABIO SILVA ;UNIÃO;44300;62845;8067389;0.779;ELEITO POR QP
WALCYSNEU CARLOS MACEDO DE OLIVEIRA;CARLOS MACEDO;REPUBLICANOS;10100;62495;8067389;0.7747;ELEITO POR MÉDIA
MARTHA MESQUITA DA ROCHA;DELEGADA MARTHA ROCHA;PDT;12040;61767;8067389;0.7656;ELEITO POR QP
LUCIA HELENA PINTO DE BARROS;LUCINHA;PSD;55620;60387;8067389;0.7485;ELEITO POR QP
MANOEL INACIO BRAZAO;BRAZÃO;UNIÃO;44101;59971;8067389;0.7434;ELEITO POR QP
AMANDA BRANDAO ARMELAU;ÍNDIA ARMELAU;PL;22322;57582;8067389;0.7138;ELEITO POR QP
VERÔNICA DOS SANTOS LIMA;VERÔNICA LIMA;PT;13580;55738;8067389;0.6909;ELEITO POR QP
CARLOS MINC BAUMFELD;CARLOS MINC;PSB;40000;54942;8067389;0.681;ELEITO POR QP
ANDRE LUIZ RAMALHO CECILIANO;ANDREZINHO CECILIANO;PT;13567;54851;8067389;0.6799;ELEITO POR QP
SERGIO RENATO FERREIRA MIRANDA;RENATO MIRANDA;PL;22345;54341;8067389;0.6736;ELEITO POR QP
GUSTAVO REIS FERREIRA;GUSTAVO TUTUCA;PP;11212;52976;8067389;0.6567;ELEITO POR QP
ANDRÉ GUSTAVO PEREIRA CORRÊA DA SILVA;ANDRÉ CORREA;PP;11321;52352;8067389;0.6489;ELEITO POR QP
ANDERSON LUIS DE MORAES;ANDERSON MORAES;PL;22120;52313;8067389;0.6485;ELEITO POR QP
MÁRCIO GUALBERTO DOS SANTOS;MÁRCIO GUALBERTO;PL;22070;51856;8067389;0.6428;ELEITO POR QP
RAFAEL PEREIRA NOBRE;RAFAEL NOBRE;UNIÃO;44000;51563;8067389;0.6392;ELEITO POR QP
ROSÂNGELA DE OLIVEIRA ZEIDAN;ZEIDAN;PT;13103;50743;8067389;0.629;ELEITO POR QP
LEONARDO VIEIRA MENDES;LEO VIEIRA;PSC;20333;50569;8067389;0.6268;ELEITO POR QP
