deputado_federal;nome_urna;partido;numero;votos;total_votos_estado;percentual_estado;situacao
DANIELA MOTÉ DE SOUZA CARNEIRO;DANIELA DO WAGUINHO;UNIÃO;4412;213706;8333977;2.5643;ELEITO POR QP
EDUARDO PAZUELLO;GENERAL  PAZUELLO;PL;2212;205324;8333977;2.4637;ELEITO POR QP
TALÍRIA PETRONE SOARES;TALIRIA PETRONE;PSOL;5077;198548;8333977;2.3824;ELEITO POR QP
LUIZ ANTONIO DE SOUZA TEIXEIRA JUNIOR;DOUTOR LUIZINHO;PP;1177;190071;8333977;2.2807;ELEITO POR QP
ALTINEU CORTES FREITAS COUTINHO;ALTINEU CORTES;PL;2269;167512;8333977;2.01;ELEITO POR QP
TARCÍSIO MOTTA DE CARVALHO;TARCÍSIO MOTTA;PSOL;5000;159928;8333977;1.919;ELEITO POR QP
OTONI MOURA DE PAULO JUNIOR;OTONI DE PAULA;MDB;1522;158507;8333977;1.9019;ELEITO POR QP
LUIZ LINDBERGH FARIAS FILHO;LINDBERGH FARIAS;PT;1300;152219;8333977;1.8265;ELEITO POR QP
GUTEMBERG REIS DE OLIVEIRA;GUTEMBERG REIS;MDB;1516;133612;8333977;1.6032;ELEITO POR QP
HELIO FERNANDO BARBOSA LOPES;HELIO FERNANDO BARBOSA LOPES;PL;2220;132986;8333977;1.5957;ELEITO POR QP
SORAYA ALENCAR DOS SANTOS;SORAYA SANTOS;PL;2222;130379;8333977;1.5644;ELEITO POR QP
FRANCISCO RODRIGUES DE ALENCAR FILHO;CHICO ALENCAR;PSOL;5050;115023;8333977;1.3802;ELEITO POR QP
CARLOS ROBERTO COELHO DE MATTOS JUNIOR;CARLOS JORDY;PL;2211;114587;8333977;1.3749;ELEITO POR QP
BENEDITA SOUZA DA SILVA SAMPAIO;BENEDITA DA SILVA;PT;1377;113831;8333977;1.3659;ELEITO POR QP
WASHINGTON LUIZ CARDOSO SIQUEIRA;WASHINGTON QUAQUÁ;PT;1313;113282;8333977;1.3593;ELEITO POR QP
MARCELO BEZERRA CRIVELLA;MARCELO CRIVELLA;REPUBLICANOS;1000;110450;8333977;1.3253;ELEITO POR QP
AUREO LIDIO MOREIRA RIBEIRO;AUREO RIBEIRO;SOLIDARIEDADE;7733;103321;8333977;1.2398;ELEITO POR QP
DANIEL RICARDO SORANZ PINTO;DANIEL SORANZ;PSD;5588;98784;8333977;1.1853;ELEITO POR QP
ROBERTO LUIZ RODRIGUES DE OLIVEIRA;ROBERTO MONTEIRO PAI;PL;2282;94221;8333977;1.1306;ELEITO POR QP
MAX RODRIGUES LEMOS;MAX;PROS;9090;89507;8333977;1.074;ELEITO POR QP
LUCIANO VIEIRA MENDES;LUCIANO VIEIRA;PL;2256;84942;8333977;1.0192;ELEITO POR QP
JANDIRA FEGHALI;JANDIRA FEGHALI;PC do B;6565;84054;8333977;1.0086;ELEITO POR QP
GLAUBER DE MEDEIROS BRAGA;GLAUBER;PSOL;5080;78048;8333977;0.9365;ELEITO POR MÉDIA
JOÃO FRANCISCO INÁCIO BRAZÃO;CHIQUINHO BRAZÃO;UNIÃO;4401;77367;8333977;0.9283;ELEITO POR QP
PEDRO PAULO CARVALHO TEIXEIRA;PEDRO PAULO;PSD;5555;76828;8333977;0.9219;ELEITO POR QP
ROSANGELA DE SOUZA GOMES;ROSANGELA GOMES;REPUBLICANOS;1033;76292;8333977;0.9154;ELEITO POR QP
DANIELLE DYTZ DA CUNHA;DANI CUNHA;UNIÃO;4477;75810;8333977;0.9096;ELEITO POR QP
MARCELO ANDRÉ CID HERÁCLITO DO PORTO QUEIROZ;MARCELO QUEIROZ;PP;1100;73728;8333977;0.8847;ELEITO POR QP
EDUARDO CARVALHO BANDEIRA DE MELLO;BANDEIRA DE MELLO;PSB;4000;72725;8333977;0.8726;ELEITO POR QP
ROGÉRIO TEIXEIRA JUNIOR;JUNINHO DO PNEU;UNIÃO;4400;70660;8333977;0.8479;ELEITO POR QP
LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA;LUIZ LIMA;PL;2233;69088;8333977;0.829;ELEITO POR QP
SÓSTENES SILVA CAVALCANTE;SÓSTENES CAVALCANTE;PL;2277;65443;8333977;0.7853;ELEITO POR QP
MARCOS PAULO BARBOSA TAVARES;MARCOS TAVARES;PDT;1216;62086;8333977;0.745;ELEITO POR QP
JORGE BRAZ DE OLIVEIRA;JORGE BRAZ;REPUBLICANOS;1011;59201;8333977;0.7104;ELEITO POR MÉDIA
ALEXANDRE RAMAGEM RODRIGUES;DELEGADO RAMAGEM;PL;2217;59170;8333977;0.71;ELEITO POR MÉDIA
HENRIQUE DOS SANTOS VIEIRA LIMA;PASTOR HENRIQUE VIEIRA;PSOL;5033;53933;8333977;0.6471;ELEITO POR MÉDIA
CHRISTINE NOGUEIRA DOS REIS TONIETTO;CHRIS TONIETTO;PL;2214;52583;8333977;0.6309;ELEITO POR MÉDIA
HUGO LEAL MELO DA SILVA;HUGO LEAL;PSD;5510;50067;8333977;0.6008;ELEITO POR QP
JULIO LUIZ BAPTISTA LOPES;JULIO LOPES;PP;1111;50019;8333977;0.6002;ELEITO POR QP
