municipio;prefeito;nome_urna;partido;numero;votos;total_votos_municipio;percentual_municipio;situacao;turno
Angra dos Reis;Cláudio de Lima Sírio;Cláudio Ferreti;MDB;15;40681;95912;42.4149;ELEITO;1
Aperibé;Ronald de Cássio Daibes Moreira;Roninho;UNIÃO;44;6322;8280;76.3527;ELEITO;1
Araruama;Daniela Cuinse Abreu Soares;Daniela de Livia;MDB;15;41664;76537;54.4364;ELEITO;1
Areal;José Augusto Bernardes Lima;Gutinho Bernardes;PP;11;6506;8056;80.7597;ELEITO;1
Armação dos Búzios;Alexandre de Oliveira Martins;Alexandre Martins;REPUBLICANOS;10;17517;25846;67.7745;ELEITO;1
Arraial do Cabo;Marcelo Magno Felix dos Santos;Marcelo Magno;PL;22;20284;20609;98.423;ELEITO;1
Barra Mansa;Luiz Antônio Furlani Filho;Furlani;PL;22;44330;92163;48.0996;ELEITO;1
Barra do Piraí;Kátia Cristina Miki da Silva;Katia Miki;SOLIDARIEDADE;77;18000;48954;36.7692;ELEITO;1
Belford Roxo;Marcio Correia de Oliveira;Márcio Canella;UNIÃO;44;155229;246848;62.8844;ELEITO;1
Bom Jardim;Affonso Henriques Monnerat Alves da Cruz;Affonso Monnerat;PP;11;7622;16770;45.4502;ELEITO;1
Bom Jesus do Itabapoana;Paulo Sergio Travassos do Carmo Cyrillo;Serginho Cyrillo;PL;22;15945;22429;71.091;ELEITO;1
Cabo Frio;Sergio Luiz Costa Azevedo Filho;Dr Serginho;PL;22;84317;121869;69.1866;ELEITO;1
Cachoeiras de Macacu;Rafael Muzzi de Miranda;Rafael Miranda;PP;11;31029;35524;87.3466;ELEITO;1
Cambuci;Murillo Silva Defanti;Murillo Defanti;PP;11;5792;10586;54.7138;ELEITO;1
Campos dos Goytacazes;Wladimir Barros Assed Matheus de Oliveira;Wladimir Garotinho;PP;11;192232;278147;69.1117;ELEITO;1
Cantagalo;Emanuela Teixeira Silva;Manuela;SOLIDARIEDADE;77;5426;12345;43.953;ELEITO;1
Carapebus;Bernard Tavares Didimo;Bernard Tavares;CIDADANIA;23;7464;11748;63.5342;ELEITO;1
